value,date_earliest,date_latest
20 Juni 1404,20.06.1404,20.06.1404
28 Juni 1404,28.06.1404,28.06.1404
21 August 1404,21.08.1404,21.08.1404
15 Novbr  1404,15.11.1404,15.11.1404
2 Februar 1405,02.02.1405,02.02.1405
8 April 1405,08.04.1405,08.04.1405
16 Juni 1405,16.06.1405,16.06.1405
26 Juni 1405,26.06.1405,26.06.1405
23 August 1405,23.08.1405,23.08.1405
24 August 1405,24.08.1405,24.08.1405
13 Oktbr  1405,13.10.1405,13.10.1405
9 Novbr  1405,09.11.1405,09.11.1405
10 Januar 1406,10.01.1406,10.01.1406
6 Juni 1406,06.06.1406,06.06.1406
13 Juni 1406,13.06.1406,13.06.1406
3 Februar 1407,03.02.1407,03.02.1407
3 Juli 1407,03.07.1407,03.07.1407
ved 14 Oktbr  1407,14.10.1407,14.10.1407
21 Oktbr  1407,21.10.1407,21.10.1407
20 Januar 1408,20.01.1408,20.01.1408
20 Februar 1408,20.02.1408,20.02.1408
2 Mai 1408,02.05.1408,02.05.1408
30 August 1408,30.08.1408,30.08.1408
19 Januar 1409,19.01.1409,19.01.1409
14 Mai 1409,14.05.1409,14.05.1409
21 Mai 1409,21.05.1409,21.05.1409
19 August 1409,19.08.1409,19.08.1409
1 Septbr  1409,01.09.1409,01.09.1409
19 Septbr  1409 1,19.09.1409,19.09.1409
15 Novbr  1409,15.11.1409,15.11.1409
ved 1410?,01.01.1410,31.12.1410
2 Februar 1410,02.02.1410,02.02.1410
18 April 1410,18.04.1410,18.04.1410
19 April 1411,19.04.1411,19.04.1411
29 Juli 1411,29.07.1411,29.07.1411
30 Novbr  1411,30.11.1411,30.11.1411
8 Februar 1412,08.02.1412,08.02.1412
21 Mai 1412,21.05.1412,21.05.1412
23 Juni 1412,23.06.1412,23.06.1412
17 Juli 1412,17.07.1412,17.07.1412
29 Septbr  1412,29.09.1412,29.09.1412
19 Decbr  1412,19.12.1412,19.12.1412
13 Marts 1413,13.03.1413,13.03.1413
29 Juni 1413,29.06.1413,29.06.1413
6 Decbr  1413,06.12.1413,06.12.1413
